id,goal,function,arg,time_elapsed,max_memory
874e5f0b0227,intArrayCosts,comprehension,100,2.9802322387695312e-05,1880
e55a3a2caf56,intArrayCosts,generator,100,1.6927719116210938e-05,1896
7ca4d36fb09e,intArrayCosts,range_append,100,1.5974044799804688e-05,1344
18d5ea23549a,intArrayCosts,zero_array,100,1.0013580322265625e-05,1328
2f98f5201f5f,stringCreateCosts,array_append,100,0.0003020763397216797,2505
343ec977d09c,stringCreateCosts,comprehension,100,0.00021791458129882812,2095
0353b9f09186,stringCreateCosts,random_choices,100,6.413459777832031e-05,3071
cb94457dd3aa,stringCreateCosts,string_append,100,0.00022602081298828125,859
94aed5dd2181,stringMatch,array_append,100,0.0002300739288330078,6597
b5f8cb3a2c8b,stringMatch,comprehension,100,9.202957153320312e-05,5821
20c7b1a3b152,stringMatch,generator,100,8.106231689453125e-05,5821
07566b321bfb,stringMatch,read_file,100,0.0001289844512939453,5389
78fdfaf1e992,stringMatch,string_append,100,0.00011301040649414062,5821
61393bce78d8,intArrayCosts,comprehension,1000,0.0003561973571777344,29796
c72a2b6a9ba7,intArrayCosts,generator,1000,0.00034308433532714844,29812
4521b7ddebcd,intArrayCosts,range_append,1000,0.00033593177795410156,29652
5d733b724584,intArrayCosts,zero_array,1000,0.00031495094299316406,28852
76e166f6ee8d,stringCreateCosts,array_append,1000,0.0024538040161132812,9979
3ec7ba4a5451,stringCreateCosts,comprehension,1000,0.002466917037963867,10197
df2eea16a38f,stringCreateCosts,random_choices,1000,0.0002410411834716797,9849
4288a0b5c59e,stringCreateCosts,string_append,1000,0.0027010440826416016,1339
89aa90909146,stringMatch,array_append,1000,0.0002548694610595703,7218
96243d3aedfc,stringMatch,comprehension,1000,0.00014901161193847656,7218
1d1ce863746d,stringMatch,generator,1000,0.0001442432403564453,7218
1e760d36a9ff,stringMatch,read_file,1000,6.4849853515625e-05,7218
aa88e25f21e9,stringMatch,string_append,1000,0.00025081634521484375,7218
f513babf8597,intArrayCosts,comprehension,10000,0.0041239261627197266,358116
3d67c0d8fd2f,intArrayCosts,generator,10000,0.003962993621826172,358132
14b85955cebb,intArrayCosts,range_append,10000,0.004515171051025391,357972
f2926f4ceac8,intArrayCosts,zero_array,10000,0.0045740604400634766,352852
cf8453af4552,stringCreateCosts,array_append,10000,0.023521900177001953,95197
aa0aa07c94d7,stringCreateCosts,comprehension,10000,0.024268150329589844,95273
5320d0b130f5,stringCreateCosts,random_choices,10000,0.0017681121826171875,95169
02fe8095745a,stringCreateCosts,string_append,10000,0.03009486198425293,10339
0763f32e6c90,stringMatch,array_append,10000,0.0008530616760253906,62876
1702dd71dbe7,stringMatch,comprehension,10000,0.0007271766662597656,62876
a54934c0e0ef,stringMatch,generator,10000,0.0007338523864746094,62980
6e302fcbb931,stringMatch,read_file,10000,0.00010824203491210938,25219
e635ce9751aa,stringMatch,string_append,10000,0.0030357837677001953,25219
596f083151fd,intArrayCosts,comprehension,100000,0.04583334922790527,3593924
e416897aa041,intArrayCosts,generator,100000,0.045732736587524414,3593940
0ce531149654,intArrayCosts,range_append,100000,0.04468703269958496,3593780
487a41c100e0,intArrayCosts,zero_array,100000,0.04504704475402832,3592852
72d8c3ed99fe,stringCreateCosts,array_append,100000,0.23005890846252441,901005
5dce649642c8,stringCreateCosts,comprehension,100000,0.22787880897521973,901081
7a716c39d4c7,stringCreateCosts,random_choices,100000,0.01790332794189453,900977
364c7a392cd9,stringCreateCosts,string_append,100000,0.27478623390197754,100339
1d3b1841eb2b,stringMatch,array_append,100000,0.007078886032104492,599584
908f313e9273,stringMatch,comprehension,100000,0.0066030025482177734,599584
308a06fba038,stringMatch,generator,100000,0.0074541568756103516,599688
1fa633904846,stringMatch,read_file,100000,0.0004360675811767578,205220
905cd3ba5410,stringMatch,string_append,100000,0.032012939453125,205220
d9a8394e16f8,intArrayCosts,comprehension,100,3.981590270996094e-05,1880
30dcbea0543f,intArrayCosts,generator,100,1.9073486328125e-05,1896
5b6d64743825,intArrayCosts,range_append,100,1.6689300537109375e-05,1344
647af4bd9ed6,intArrayCosts,zero_array,100,1.0728836059570312e-05,1328
0b6fdf36f59b,stringCreateCosts,array_append,100,0.00023698806762695312,2505
daca98687d4c,stringCreateCosts,comprehension,100,0.0002129077911376953,2095
b0e345989fd3,stringCreateCosts,random_choices,100,7.987022399902344e-05,3071
7b5834500cfd,stringCreateCosts,string_append,100,0.00026416778564453125,859
c41c644d37b2,stringMatch,array_append,100,0.0003459453582763672,6597
4b74f4566541,stringMatch,comprehension,100,0.0001652240753173828,5821
0a99bf7cfa06,stringMatch,generator,100,8.487701416015625e-05,5821
0057d3b2f6c8,stringMatch,read_file,100,6.079673767089844e-05,5389
00c6e4e50a28,stringMatch,string_append,100,8.606910705566406e-05,5821
